raw,kalman
3093.00,3073.95
3087.00,3075.13
3091.00,3076.47
3096.00,3078.05
3106.00,3080.21
3098.00,3081.55
3093.00,3082.38
3095.00,3083.25
3095.00,3084.02
3095.00,3084.72
3097.00,3085.46
3096.00,3086.08
3089.00,3086.25
3090.00,3086.45
3089.00,3086.58
3087.00,3086.60
3089.00,3086.71
3083.00,3086.55
3089.00,3086.65
3067.00,3085.83
3081.00,3085.63
3083.00,3085.53
3067.00,3084.80
3087.00,3084.89
3079.00,3084.67
3068.00,3084.06
3083.00,3084.02
3077.00,3083.77
3064.00,3083.09
3067.00,3082.54
3063.00,3081.86
3054.00,3080.90
3052.00,3079.88
3051.00,3078.85
3047.00,3077.68
3037.00,3076.16
3045.00,3074.94
3035.00,3073.36
3037.00,3071.86
3031.00,3070.14
3035.00,3068.60
3031.00,3066.92
3027.00,3065.09
3027.00,3063.29
3029.00,3061.64
3017.00,3059.45
3005.00,3056.68
2995.00,3053.40
2997.00,3050.21
2987.00,3046.47
2985.00,3042.63
2975.00,3038.20
2964.00,3033.06
2952.00,3027.09
2926.00,3019.12
2908.00,3009.50
2887.00,2997.78
2844.00,2981.40
2793.00,2958.38
2745.00,2927.65
2696.00,2888.17
2631.00,2836.83
2555.00,2771.41
2489.00,2696.20
2423.00,2615.84
2363.00,2536.79
2317.00,2466.44
2275.00,2406.05
2246.00,2357.44
2217.00,2317.25
2199.00,2285.53
2175.00,2258.00
2169.00,2237.24
2157.00,2219.95
2157.00,2207.36
2148.00,2196.44
2139.00,2186.65
2130.00,2177.59
2134.00,2171.01
2118.00,2163.53
2119.00,2157.52
2117.00,2152.33
2110.00,2147.18
2105.00,2142.26
2109.00,2138.53
2107.00,2135.16
2109.00,2132.49
2105.00,2129.83
2104.00,2127.43
2103.00,2125.26
2101.00,2123.19
2101.00,2121.37
2099.00,2119.60
2093.00,2117.57
2099.00,2116.19
2095.00,2114.68
2091.00,2113.03
2091.00,2111.54
2089.00,2110.05
2087.00,2108.56
2089.00,2107.32
2087.00,2106.07
2085.00,2104.80
2087.00,2103.74
2087.00,2102.78
2085.00,2101.78
2084.00,2100.80
2085.00,2099.94
2086.00,2099.21
2087.00,2098.58
2088.00,2098.05
2083.00,2097.32
2089.00,2096.92
2087.00,2096.46
2091.00,2096.22
2083.00,2095.64
2087.00,2095.27
2086.00,2094.88
2088.00,2094.60
2085.00,2094.22
2089.00,2094.02
2085.00,2093.68
2091.00,2093.58
2092.00,2093.52
